,Iteration,Fitness,FEvals,Time,max_iters,learning_rate,pop_size,mutation_rates,algorithm,activation,bias,early_stopping,clip_max,hidden_layer_sizes,learning_rate_init,max_attempts
0,0,31.5594823375577,21,1.82073323100485,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
1,1,21.7539374174659,43,5.17694448000111,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
2,2,21.7539374174659,64,8.45692813100322,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
3,4,21.7539374174659,106,14.6178842730005,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
4,8,21.7539374174659,190,26.4900577930021,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
5,16,19.7341367374536,360,49.9234249459987,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
6,32,18.8995435978929,697,96.1699402900049,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
7,64,18.5641268793549,1370,188.489790751999,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
8,128,16.8853050416194,2127,291.439990514999,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
9,256,16.8853050416194,2127,291.439990514999,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
10,512,16.8853050416194,2127,291.439990514999,100,0.1,20,0.2,ga,relu,True,True,5,"[500, 500, 10]",0.1,100
