,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,24.0,0,0.0011390530271455646,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 11]",0,8192,0
1,1,23.0,2,0.003374136023921892,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 7]",0,8192,0
2,2,23.0,3,0.004925187007756904,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 7]",0,8192,0
3,4,23.0,5,0.007335992006119341,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 7]",0,8192,0
4,8,23.0,9,0.011024766019545496,"[8, 15, 13, 8, 11, 18, 11, 8, 7, 2, 17, 11, 15, 5, 7, 3, 6, 4, 10, 7]",0,8192,0
5,16,14.0,21,0.01832856101100333,"[8, 15, 13, 8, 16, 18, 11, 8, 7, 2, 17, 11, 15, 5, 9, 10, 6, 4, 14, 7]",0,8192,0
6,32,10.0,40,0.02897506402223371,"[8, 15, 13, 0, 16, 18, 11, 8, 2, 2, 17, 11, 15, 5, 9, 10, 6, 4, 14, 0]",0,8192,0
7,64,7.0,75,0.04757531001814641,"[8, 15, 13, 0, 16, 7, 11, 8, 2, 2, 17, 15, 15, 5, 9, 10, 6, 4, 14, 18]",0,8192,0
8,128,5.0,141,0.08233028600807302,"[13, 15, 12, 0, 16, 7, 11, 8, 2, 2, 17, 15, 15, 5, 9, 10, 6, 4, 14, 18]",0,8192,0
9,256,3.0,271,0.15330796802300029,"[13, 1, 12, 0, 16, 7, 11, 8, 2, 2, 19, 15, 15, 5, 9, 10, 6, 4, 14, 18]",0,8192,0
10,512,2.0,528,0.3064201680244878,"[13, 1, 12, 0, 16, 7, 11, 8, 2, 2, 19, 17, 15, 5, 9, 10, 6, 4, 14, 18]",0,8192,0
11,1024,2.0,899,0.5625089920067694,"[13, 1, 12, 0, 16, 7, 11, 8, 2, 2, 19, 17, 15, 5, 9, 10, 6, 4, 14, 18]",0,8192,0
12,2048,2.0,899,0.5625089920067694,"[13, 1, 12, 0, 16, 7, 11, 8, 2, 2, 19, 17, 15, 5, 9, 10, 6, 4, 14, 18]",0,8192,0
13,4096,2.0,899,0.5625089920067694,"[13, 1, 12, 0, 16, 7, 11, 8, 2, 2, 19, 17, 15, 5, 9, 10, 6, 4, 14, 18]",0,8192,0
14,8192,2.0,899,0.5625089920067694,"[13, 1, 12, 0, 16, 7, 11, 8, 2, 2, 19, 17, 15, 5, 9, 10, 6, 4, 14, 18]",0,8192,0
